LOG_INTERVAL_USEC,5000
rec#,adc0,adc1,adc2,adc3
884,3617,0,2251,0
885,3620,0,2244,0
886,3616,0,2244,0
887,3620,0,2245,0
888,3617,0,2246,0
889,3617,0,2224,0
890,3615,0,2241,0
891,3613,0,2245,0
892,3615,0,2246,0
893,3619,0,2245,0
894,3614,0,2251,0
895,3620,0,2253,0
896,3615,0,2253,0
897,3613,0,2256,0
898,3618,0,2256,0
899,3614,0,2254,0
900,3617,0,2256,0
901,3618,0,2259,0
902,3615,0,2271,0
903,3619,0,2282,0
904,3618,0,2287,0
905,3619,0,2288,0
906,3619,0,2295,0
907,3616,0,2301,0
908,3619,0,2309,0
909,3618,0,2302,0
910,3617,0,2320,0
911,3617,0,2327,0
912,3613,0,2333,0
913,3616,0,2337,0
914,3618,0,2339,0
915,3621,0,2338,0
916,3617,0,2342,0
917,3618,0,2347,0
918,3616,0,2351,0
919,3618,0,2352,0
920,3619,0,2354,0
921,3620,0,2358,0
922,3616,0,2365,0
923,3615,0,2367,0
924,3623,0,2369,0
925,3618,0,2375,0
926,3619,0,2384,0
927,3618,0,2390,0
928,3616,0,2399,0
929,3614,0,2385,0
930,3615,0,2410,0
931,3615,0,2418,0
932,3617,0,2420,0
933,3621,0,2421,0
934,3620,0,2425,0
935,3617,0,2423,0
936,3616,0,2416,0
937,3616,0,2416,0
938,3621,0,2416,0
939,3618,0,2418,0
940,3616,0,2423,0
941,3622,0,2422,0
942,3618,0,2416,0
943,3615,0,2408,0
944,3617,0,2395,0
945,3614,0,2387,0
946,3620,0,2379,0
947,3617,0,2377,0
948,3617,0,2366,0
949,3617,0,2347,0
950,3615,0,2361,0
951,3615,0,2371,0
952,3615,0,2383,0
953,3616,0,2391,0
954,3614,0,2403,0
955,3615,0,2411,0
956,3621,0,2415,0
957,3617,0,2416,0
958,3616,0,2416,0
959,3619,0,2416,0
960,3619,0,2416,0
961,3618,0,2416,0
962,3613,0,2417,0
963,3618,0,2417,0
964,3618,0,2415,0
965,3619,0,2414,0
966,3622,0,2403,0
967,3616,0,2395,0
968,3618,0,2384,0
969,3617,0,2355,0
970,3615,0,2352,0
971,3616,0,2340,0
972,3618,0,2329,0
973,3617,0,2320,0
974,3617,0,2309,0
975,3616,0,2302,0
976,3620,0,2295,0
977,3614,0,2289,0
978,3617,0,2286,0
979,3615,0,2277,0
980,3616,0,2272,0
981,3619,0,2266,0
982,3619,0,2266,0
983,3617,0,2269,0
984,3621,0,2276,0
985,3621,0,2283,0
986,3614,0,2288,0
987,3618,0,2289,0
988,3616,0,2293,0
989,3615,0,2289,0
990,3615,0,2298,0
991,3616,0,2295,0
992,3616,0,2289,0
993,3613,0,2288,0
994,3614,0,2288,0
995,3613,0,2288,0
996,3615,0,2288,0
997,3618,0,2283,0
998,3616,0,2278,0
999,3615,0,2267,0
1000,3616,0,2256,0
1001,3619,0,2246,0
1002,3619,0,2243,0
1003,3616,0,2240,0
1004,3615,0,2245,0
1005,3615,0,2244,0
1006,3617,0,2243,0
1007,3617,0,2243,0
1008,3616,0,2257,0
1009,3614,0,2250,0
1010,3617,0,2263,0
1011,3613,0,2273,0
1012,3617,0,2283,0
1013,3615,0,2285,0
1014,3616,0,2287,0
1015,3613,0,2287,0
1016,3614,0,2288,0
1017,3616,0,2288,0
1018,3617,0,2288,0
1019,3616,0,2289,0
1020,3615,0,2289,0
1021,3615,0,2290,0
1022,3616,0,2288,0
1023,3611,0,2288,0
1024,3617,0,2288,0
1025,3617,0,2288,0
1026,3619,0,2290,0
1027,3618,0,2297,0
1028,3610,0,2291,0
1029,3618,0,2298,0
1030,3618,0,2307,0
1031,3615,0,2314,0
1032,3617,0,2320,0
1033,3617,0,2325,0
1034,3615,0,2325,0
1035,3618,0,2326,0
1036,3615,0,2323,0
1037,3615,0,2320,0
1038,3615,0,2321,0
1039,3618,0,2321,0
1040,3616,0,2326,0
1041,3620,0,2327,0
1042,3613,0,2330,0
1043,3615,0,2331,0
1044,3615,0,2336,0
1045,3615,0,2347,0
1046,3616,0,2356,0
1047,3616,0,2372,0
1048,3617,0,2355,0
1049,3616,0,2381,0
1050,3618,0,2389,0
1051,3618,0,2398,0
1052,3615,0,2399,0
1053,3617,0,2404,0
1054,3615,0,2411,0
1055,3621,0,2412,0
1056,3619,0,2410,0
1057,3616,0,2402,0
1058,3618,0,2395,0
1059,3617,0,2388,0
1060,3619,0,2383,0
1061,3616,0,2371,0
1062,3618,0,2368,0
1063,3618,0,2368,0
1064,3617,0,2369,0
1065,3618,0,2367,0
1066,3619,0,2362,0
1067,3616,0,2363,0
1068,3617,0,2352,0
1069,3618,0,2374,0
1070,3615,0,2384,0
1071,3616,0,2394,0
1072,3618,0,2393,0
1073,3616,0,2396,0
1074,3619,0,2401,0
1075,3617,0,2414,0
1076,3617,0,2423,0
1077,3617,0,2433,0
1078,3617,0,2447,0
1079,3619,0,2453,0
1080,3615,0,2459,0
1081,3619,0,2449,0
1082,3620,0,2438,0
1083,3620,0,2422,0
1084,3621,0,2406,0
1085,3618,0,2396,0
1086,3620,0,2383,0
1087,3618,0,2366,0
1088,3616,0,2339,0
1089,3617,0,2336,0
1090,3621,0,2326,0
1091,3615,0,2318,0
1092,3613,0,2309,0
1093,3619,0,2304,0
1094,3615,0,2302,0
1095,3617,0,2301,0
1096,3619,0,2304,0
1097,3616,0,2307,0
1098,3618,0,2317,0
1099,3617,0,2320,0
1100,3615,0,2321,0
1101,3618,0,2331,0
1102,3619,0,2339,0
1103,3617,0,2351,0
1104,3618,0,2350,0
1105,3618,0,2346,0
1106,3617,0,2338,0
1107,3617,0,2335,0
1108,3615,0,2320,0
1109,3617,0,2323,0
1110,3614,0,2322,0
1111,3617,0,2323,0
1112,3615,0,2320,0
1113,3619,0,2309,0
1114,3614,0,2298,0
1115,3617,0,2289,0
1116,3619,0,2273,0
1117,3621,0,2260,0
1118,3617,0,2247,0
1119,3616,0,2239,0
1120,3616,0,2234,0
1121,3616,0,2235,0
1122,3616,0,2240,0
1123,3615,0,2245,0
1124,3620,0,2248,0
1125,3616,0,2250,0
1126,3616,0,2250,0
1127,3621,0,2249,0
1128,3613,0,2237,0
1129,3616,0,2245,0
1130,3614,0,2251,0
1131,3614,0,2256,0
1132,3613,0,2263,0
1133,3619,0,2271,0
1134,3614,0,2273,0
1135,3615,0,2277,0
1136,3615,0,2281,0
1137,3621,0,2288,0
1138,3617,0,2290,0
1139,3616,0,2293,0
1140,3617,0,2290,0
1141,3616,0,2287,0
